config,status,msd,rdf,psi6,rdf/msd,psi/msd,cn_at_1.5,cn_slope,cn_1.5/msd,cn_slope/msd
config_54,unstable,0.004738071647863248,7.3697,0.37283209599139044,1555.4218145526672,78.6885728415543,5.24585,8.061778891243438,1107.1698340327434,1701.4894434699186
config_1,unstable,0.001994371562393163,11.6219,0.36078934621293846,5827.349436357889,180.90377591425656,7.6503,12.852164657458585,3835.945189079992,6444.217767544039
config_37,unstable,0.0015115838871794876,11.0912,0.3608732439702715,7337.469057503268,238.7384828794625,7.47525,12.6643344562742,4945.309395926617,8378.188312065819
config_9,unstable,0.0012477829709401712,14.6832,0.36670252102411544,11767.430989170016,293.8832549925047,9.7418,15.045732884158356,7807.287186055932,12057.972607866093
config_61,unstable,0.001200057671794872,12.9211,0.3612710969219273,10767.065869988144,301.0447792743081,8.47205,15.44206508436143,7059.702378577138,12867.769147515579
config_31,unstable,0.0011607701128205131,14.8802,0.37694318403728383,12819.248045457634,324.7354319981269,8.734,17.510090332312057,7524.315024598256,15084.890745304361
config_27,unstable,0.0009659436273504276,14.6509,0.36418008399527396,15167.44827044126,377.0200182325503,8.6342,16.542857529011563,8938.616866994103,17126.11073835482
config_30,unstable,0.0009302961025641027,16.4185,0.3756457056739373,17648.681914013152,403.7915504951319,9.01045,15.838495448288484,9685.572126084586,17025.219609793134
config_6,unstable,0.0008601877777777783,14.9371,0.3659404182964785,17364.92936296854,425.41922560426787,9.71615,15.497401143304751,11295.382532754471,18016.300095940638
config_2,unstable,0.0008529002871794874,15.1974,0.37852755831221063,17818.49558317924,443.8122064233189,9.21755,18.617183368201975,10807.30085164132,21828.08899006046
config_42,unstable,0.0008219827145299147,16.4075,0.39404749932330624,19960.88203555876,479.386600664296,9.99215,18.864822652196395,12156.155869669876,22950.38851636319
config_59,unstable,0.0006742471897435899,16.1198,0.4089352854447557,23907.848998421803,606.5064736870021,8.8729,16.15561366011807,13159.713729580813,23960.965512161652
config_55,unstable,0.000664843052991453,19.7545,0.3747567022885119,29713.02762526415,563.6769469159657,12.5997,25.31884102321976,18951.39002100993,38082.43300324483
config_7,unstable,0.0006559426803418805,16.3386,0.4042229137748111,24908.578889064276,616.2473122866897,9.98765,16.531143308880022,15226.406665281163,25202.11567916866
config_24,unstable,0.0006420847863247865,16.6782,0.4218082955347969,25975.074250651447,656.9355083916178,9.3555,18.207991394574705,14570.505639215839,28357.612238089278
config_44,stable,0.0005922766256410258,35.3096,0.39235639133168176,59616.73730038584,662.4546273576663,16.0021,27.251367013735706,27017.949564835173,46011.21474993434
config_57,stable,0.0005760288683760684,17.9255,0.37556494643261895,31119.100073118363,651.9897995588411,10.1871,18.34810447671509,17685.051148077546,31852.751631080188
config_5,stable,0.0005692879726495727,18.5771,0.3952044301466849,32632.166658183036,694.2082902389973,9.9151,17.555563853004234,17416.668674472905,30837.756454430888
config_10,stable,0.0005343930495726498,21.8229,0.3989258506344862,40836.796095030826,746.5026930150088,12.5954,22.493179124190085,23569.543073347322,42091.07723646054
config_48,stable,0.0004837746324786326,19.082,0.4271242197066188,39443.98635007555,882.8991663292392,10.2462,20.162168211119372,21179.696726765753,41676.778519406755
config_63,stable,0.0004536679350427352,19.5811,0.41000893451842213,43161.745601781346,903.76441191463,10.1316,18.674862191455293,22332.634108349783,41164.16600987269
config_58,stable,0.00044840430085470086,20.9086,0.378624349213225,46628.901551894654,844.381618310822,11.1933,23.172790470559384,24962.51703800458,51678.341234439235
config_28,stable,0.00035479703247863253,21.7491,0.4609674333945638,61300.118121224215,1299.242640712688,12.2821,25.989061073618895,34617.256841740025,73250.50294828515
config_53,stable,0.00027752308034188034,23.8745,0.42158458638061214,86027.079155323,1519.0973877245185,10.762,18.955186802957787,38778.75665959857,68301.29868696656
config_13,stable,0.0002601637435897436,22.2365,0.4164692051911655,85471.1717058665,1600.7964808805277,10.2806,18.990236683224285,39515.88279807214,72993.40185222079
config_36,stable,0.00023140022564102573,28.9399,0.36346891052092367,125064.2687137862,1570.7370617899821,15.1514,32.27550444264323,65477.03209029956,139479.1398894859
config_21,stable,0.00023038421880341886,21.6784,0.42663753352466066,94096.72291181385,1851.8522481294601,11.3953,15.672663701017617,49462.1552603971,68028.37356837672
config_47,stable,0.000171670147008547,26.0779,0.5440477869235653,151907.01734939186,3169.1461585133875,11.5484,25.056188728656597,67270.8691711264,145955.42186731577
config_17,unstable,0.00014642421880341886,23.4611,0.5480157215013345,160226.90912558386,3742.657642155977,12.0986,23.13318451994126,82627.04147490053,157987.41976556904
config_32,unstable,0.0001328201162393163,28.3212,0.4857112723806458,213229.74863966124,3656.91046005025,12.425,24.70180808551456,93547.57661567275,185979.4192696433
config_34,unstable,0.00012568873504273509,25.3413,0.46671795467723004,201619.50067668175,3713.2838875221596,12.5582,26.763202507772615,99915.07986559113,212932.38808293306
config_49,unstable,0.00011835524786324789,25.004,0.5336200833592222,211262.28411004273,4508.630525414361,11.5969,23.574200780991383,97983.8258916875,199181.7110486719
config_25,unstable,9.4548317948718e-05,26.6453,0.4786038423611617,281816.7533604577,5062.002717179499,11.7706,25.106374273411323,124492.96037592385,265540.14728245884
config_12,unstable,8.914971282051284e-05,25.9987,0.49179137752872165,291629.6550763296,5516.4662001643965,10.9226,24.180844872645984,122519.7440847703,271238.61768719135
config_60,unstable,8.771888205128209e-05,28.2505,0.6234137844335066,322057.22803767875,7106.950862290371,10.8188,21.22593684950863,123334.90517668851,241976.82817137995
config_45,unstable,8.326156923076924e-05,28.5052,0.5813288737033666,342357.22751026327,6981.959132816068,11.0576,21.774785448144534,132805.56806889575,261522.6406289936
config_50,unstable,7.555336752136759e-05,24.4838,0.44694280356035104,324059.67865132715,5915.590770112915,12.2157,22.98549251887933,161683.06457743558,304228.56416530604
config_51,unstable,6.650274188034189e-05,27.5369,0.4751421019742218,414071.6490990256,7144.699429523418,12.4883,24.637809755703405,187786.24229464325,370478.10449731705
config_39,unstable,6.261895384615387e-05,28.766,0.5035581581760837,459381.6765235985,8041.625214839211,11.9524,24.678966402418542,190875.1147354745,394113.36163570156
config_56,unstable,6.0918601709401754e-05,28.2806,0.40878291767890085,464235.8689535608,6710.313536559919,13.8626,31.462519745418398,227559.3925502158,516468.1864416906
config_40,unstable,5.906712820512823e-05,27.4413,0.46565384504954016,464578.1982950296,7883.468507769977,12.5049,26.788936641464247,211706.5850327614,453533.7582086549
config_4,unstable,5.783434871794872e-05,28.1179,0.5038828272737532,486179.9367211287,8712.518398558099,12.7411,26.970827407527583,220303.3367270519,466346.17671690433
config_38,unstable,5.75383435897436e-05,28.4776,0.437007513352149,494932.5653697863,7595.065934954148,13.0601,23.519573764654453,226980.81288401925,408763.48357109976
config_16,unstable,5.446767863247868e-05,29.8753,0.4580709131964288,548495.9291469707,8409.958432178977,13.0479,26.836944148869264,239553.07675292835,492713.1984080296
config_46,unstable,4.90879965811966e-05,27.7204,0.46044128783737726,564708.3183390384,9379.916067174589,13.2086,25.146717506888212,269080.0382971755,512278.34212571604
config_33,unstable,4.5677801709401736e-05,28.084,0.5285266949692854,614828.1867561842,11570.755929362078,11.9433,22.130364661177676,261468.36215941943,484488.39114389004
config_11,unstable,4.254855384615387e-05,31.672,0.5367236224046761,744373.1252187543,12614.379899851581,12.3855,26.175974165554408,291090.9744378909,615202.4404918889
config_29,unstable,3.6440588034188064e-05,30.0178,0.49369106269991164,823746.3119924879,13547.834690173973,11.7594,26.19174352885758,322700.6103460101,718751.9450642465
config_22,unstable,3.4702762393162416e-05,30.093,0.4227317593652744,867164.3962824501,12181.50170801868,13.4083,30.182674285002072,386375.58151975466,869748.4639133238
config_20,unstable,3.4470923076923106e-05,29.2998,0.5329325103893608,849985.9413284769,15460.34926886358,12.4727,27.51948455363552,361832.49204457685,798339.0665873612
config_8,unstable,3.433567179487181e-05,31.3989,0.38357256645664334,914468.7830074602,11171.255618593479,14.9243,30.85083252851475,434658.7446769867,898506.739953242
config_19,unstable,3.330376752136753e-05,30.973,0.5508748030813282,930014.8993692043,16540.915460327113,12.997,27.128834812131537,390256.14719599485,814587.5626451515
config_23,unstable,2.9441107692307723e-05,31.2126,0.3958107391127332,1060170.7084599647,13444.152416050207,15.3754,31.573825464969918,522242.5786655179,1072440.1335354452
config_35,unstable,2.8854643418803434e-05,31.8113,0.45486118645341095,1102467.2714988336,15763.881738250691,13.5713,28.949656304345435,470333.3118009048,1003292.810940789
config_62,unstable,2.8697873504273508e-05,30.907,0.4041991935133166,1076978.7522896957,14084.639179036238,14.6223,31.49584096625179,509525.5576279036,1097497.3794334144
config_43,unstable,2.7229261538461555e-05,31.8282,0.430613971346133,1168896.9219764702,15814.383020923548,15.807,32.59610201859907,580515.1923665827,1197098.275050787
config_64,unstable,2.6531761709401737e-05,32.4526,0.5292171104934562,1223160.3900053182,19946.54996113296,12.6726,26.478258373328718,477638.8442954153,997983.4231643179
config_3,unstable,2.048611145299146e-05,38.0957,0.5229059083896577,1859586.6808308868,25524.89815305095,13.0251,27.37752276711363,635801.4809149165,1336394.3093805565
config_26,unstable,2.0441296410256423e-05,34.8029,0.39010484180331484,1702577.9237043713,19084.153664910395,16.593,34.575324883228156,811739.1219704862,1691444.817848245
config_14,unstable,1.935116444444446e-05,36.5921,0.4054030081201189,1890950.8058314938,20949.799134000248,15.6936,37.03867825347668,810989.9559302999,1914028.3965759045
config_15,unstable,1.5145786324786327e-05,33.2419,0.47786347631280024,2194795.2577146217,31550.918919988253,13.6723,30.533120757827223,902713.1181446194,2015948.2052020812
config_18,unstable,1.4699570940170946e-05,34.6212,0.44323464322450135,2355252.417972778,30152.89664089657,14.3007,30.16107539335248,972865.1304317386,2051833.724678887
config_52,unstable,1.434442153846154e-05,39.0511,0.4294036117359947,2722389.3201473975,29935.23374816053,16.0349,35.58947964649584,1117849.1901542211,2481067.6088310815
config_41,unstable,1.0125590427350432e-05,37.4606,0.42600884801548566,3699596.6080964953,42072.49454459315,16.7921,36.5703952822601,1658382.3057510334,3611680.2812287454
